day,date,crude,natgas,sugar_us,platinum,silver,gold,DJIA,NASDAQ,S&P500
Tu,5/23/2023,74.59,2.097,0.2561,1066.59,23.4925,1957.55,33561.81,12179.55,4119.17
Mo,5/22/2023,74.24,2.216,0.2591,1056.29,23.7505,1981.84,33618.69,12256.92,4138.12
Fr,5/19/2023,74.95,2.104,0.2607,1073.99,23.7491,1989.17,33674.38,12235.41,4136.25
Th,5/18/2023,75.06,2.088,0.2629,1063.72,24.0855,2016.49,33127.74,11966.4,4061.22
We,5/17/2023,73.44,2.154,0.2622,1066.98,23.969,2010.77,33414.24,12025.33,4090.75
Tu,5/16/2023,74.04,2.171,0.2602,1053.04,24.1835,2015.05,33684.53,12080.51,4119.58
Mo,5/15/2023,73.26,2.348,0.2666,1096.93,25.4022,2030.09,34051.7,12212.6,4167.87
Fr,5/12/2023,73.72,2.223,0.2619,1118.46,25.6022,2034.56,34098.16,12226.58,4169.48
Th,5/11/2023,76.56,2.338,0.2609,1108.79,25.552,2021.16,33826.16,12142.24,4135.35
We,5/10/2023,75.68,2.439,0.2632,1075.56,25.6663,2016.79,33301.87,11854.35,4055.99
Tu,5/9/2023,76.23,2.573,0.2552,1062.52,26.0505,2050.28,33530.83,11799.16,4071.63
Mo,5/8/2023,76.32,2.606,0.2517,1047.97,25.577,2038.97,33875.4,12037.2,4137.04
Fr,5/5/2023,73.18,2.43,0.2514,1057.94,25.3715,2016.68,33808.96,12072.46,4133.52
Th,5/4/2023,72.8,2.543,0.2554,1066.69,24.9915,1982.56,33786.62,12059.56,4129.79
We,5/3/2023,73.77,2.687,0.2699,1055.77,25.0545,1990,33897.01,12157.23,4154.52
Tu,5/2/2023,78.97,3.009,0.2699,1078.31,24.9276,1987.78,33976.63,12153.41,4154.87
Mo,5/1/2023,79.27,2.811,0.2651,1083.99,24.8812,1989.04,33987.18,12157.72,4151.32
